qid,qstr
citeseerx-q779,access learning 2003
citeseerx-q78,google
citeseerx-q780,network security
citeseerx-q781,crawler
citeseerx-q782,educational games
citeseerx-q783,translation
citeseerx-q784,uncertainity image glacier
citeseerx-q785,casual wear display
citeseerx-q786,reinhart rogoff a modern history of exchange rate regimes pdf
citeseerx-q787,distributed system
citeseerx-q788,glusterfs stripe
citeseerx-q789,supply chain management
citeseerx-q79,technology
citeseerx-q790,wireless network
citeseerx-q791,document clustering
citeseerx-q792,open source
citeseerx-q793,naive bayes
citeseerx-q794,context
citeseerx-q795,a new method for solving hard satisfiability problems
citeseerx-q796,jazz
citeseerx-q797,acidity aerosol day night
citeseerx-q798,web usage mining
citeseerx-q799,image
citeseerx-q8,configurable workflow business process
citeseerx-q80,"""locality-sensitive hashing"""
citeseerx-q800,music recommendation
citeseerx-q801,new words in reading
citeseerx-q802,case based reasoning
citeseerx-q803,credit default swap
citeseerx-q804,liu sixin fusarium head blight
citeseerx-q805,uwb radar sweep range
citeseerx-q806,direct marketing
citeseerx-q807,deadjective
citeseerx-q808,behavioral finance
citeseerx-q809,cloud computering
citeseerx-q81,c#
citeseerx-q810,shape context and chamfer matching in cluttered scenes
citeseerx-q811,clock tree synthesis pdf cadence
citeseerx-q812,latent dirichlet allocation
citeseerx-q813,distributed computing
citeseerx-q814,gait recognition
citeseerx-q815,efficient admission control and routing for resilient
citeseerx-q816,kerberos
citeseerx-q817,rethinking the process of operational research and system analysis
citeseerx-q818,viola jones
citeseerx-q819,managerial decision making
citeseerx-q82,video games
citeseerx-q820,evolutionary dynamics and extensive form games
citeseerx-q821,foreign ownership and firm performance
citeseerx-q822,distributed systems
citeseerx-q823,mean shift tracking
citeseerx-q824,location privacy
citeseerx-q825,ontology-based personalized search and browsing
citeseerx-q826,protein-ligand docking: a review of recent advances and future perspectives
citeseerx-q827,teaching methods
citeseerx-q828,open problem in number theory
citeseerx-q829,just in time
citeseerx-q83,growth diagnostics
citeseerx-q830,web crawler
citeseerx-q831,mesh parameterization: theory and practice
citeseerx-q832,managing p2p services via the ims in proceedings of integrated network management
citeseerx-q833,process calculus
citeseerx-q834,traffic video object detection
citeseerx-q835,finite element calculation of wave propagation and excitation in periodic piezoelectric systems
citeseerx-q836,middleware
citeseerx-q837,digital forensics
citeseerx-q838,private equity
citeseerx-q839,duplication method on data encryption system
citeseerx-q84,p2p
citeseerx-q840,social networking privacy
citeseerx-q841,robust and flexible scheduling with evolutionary computation
citeseerx-q842,watermark robust
citeseerx-q843,ucge reports
citeseerx-q844,employee engagement
citeseerx-q845,human resource development
citeseerx-q846,bdd hash table
citeseerx-q847,cpn verification
citeseerx-q848,business process reengineering
citeseerx-q849,social networks
citeseerx-q85,modal analysis-based
citeseerx-q850,email
citeseerx-q851,zhongzhi bai
citeseerx-q852,sql server
citeseerx-q853,web service
citeseerx-q854,tcp/ip overview
citeseerx-q855,text to speech
citeseerx-q856,kenneth arrow equity discounting and economic efficiency
citeseerx-q857,books
citeseerx-q858,dale p bentz x-ray
citeseerx-q859,ipv6
citeseerx-q86,search engine
citeseerx-q860,corporate governance
citeseerx-q861,cylindrical surface ray tracing
citeseerx-q862,on the importance of checking cryptographic protocols for faults
citeseerx-q863,semi-supervised learning
citeseerx-q864,functional notional syllabus powerpoint
citeseerx-q865,content based image retrieval
citeseerx-q866,ebay
citeseerx-q867,public administration in a time of revolution
citeseerx-q868,software
citeseerx-q869,liquidity
citeseerx-q87,computational modeling of protective clothing
citeseerx-q870,ansys optimization using isight
citeseerx-q871,lower bound estimates of the first eigenvalue for compact manifolds with positive ricci curvature
citeseerx-q872,mobile ad hoc networks
citeseerx-q873,social capital
citeseerx-q874,inpainting
citeseerx-q875,high-dimensional random
citeseerx-q876,captcha
citeseerx-q877,real-time tracking via on-line boosting
citeseerx-q878,mobile advertising
citeseerx-q879,enterprise resource planning
citeseerx-q88,at cut quartz stiffness coefficient
citeseerx-q880,ad hoc networks
citeseerx-q881,inattentional blindness
citeseerx-q882,wall eisenstadt ager laneman 1999
citeseerx-q883,error and uncertainty in modeling and simulation
citeseerx-q884,mobile augmented reality
citeseerx-q885,sleuth ca
citeseerx-q886,seismic attributes revisited
citeseerx-q887,definition of intelligence
citeseerx-q888,spiht for generalized multiple description coding
citeseerx-q889,wall v m eisenstadt ager laneman platinum met rev 1999
citeseerx-q89,sentiment analysis
citeseerx-q890,game theory
citeseerx-q891,fiscal transparency
citeseerx-q892,c4.5 algorithm
citeseerx-q893,programmable logic controller
citeseerx-q894,illumination-robust variational optical flow with photometric invariants
citeseerx-q895,tzanetakisï¼automatic musical genre classification of audio signals
citeseerx-q896,actionscript
citeseerx-q897,robotics
citeseerx-q898,collision detection
citeseerx-q899,dynamic adaptation for deforming tetrahedral meshes
citeseerx-q9,"""non planar"" wing"
citeseerx-q90,neural network
citeseerx-q900,activity theory
citeseerx-q901,video streaming
citeseerx-q902,wlan
citeseerx-q903,dynamics and control of morphing aircraft
citeseerx-q904,license plate recognition
citeseerx-q905,shape from shading
citeseerx-q906,capability maturity model
citeseerx-q907,fourth order parabolic equation
citeseerx-q908,aircraft design
citeseerx-q909,information quality
citeseerx-q91,ad hoc
citeseerx-q910,face detection technique
citeseerx-q911,social environment dimensions
citeseerx-q912,transactional memory
citeseerx-q913,disease ontology
citeseerx-q914,csharp management
citeseerx-q915,modeling the role of salience in the allocation of
citeseerx-q916,accident law
citeseerx-q917,fast discrete curvelet transform
citeseerx-q918,vessel feature point extraction
citeseerx-q919,data integration
citeseerx-q92,zhang yanchun
citeseerx-q920,sift
citeseerx-q921,cooperation diversity in wireless networks: efficient protocols and outage behavior
citeseerx-q922,application of the cara hra tool to air traffic management safety
citeseerx-q923,semi-supervised dimensionality reduction
citeseerx-q924,level set
citeseerx-q925,facial expression recognition
citeseerx-q926,anthony venables
citeseerx-q927,media violence and children
citeseerx-q928,hot spring
citeseerx-q929,prefetching
citeseerx-q93,observational learning
citeseerx-q930,collision and self-collision handling in cloth model dedicated to design garment
citeseerx-q931,tracking
citeseerx-q932,medical image processing
citeseerx-q933,online auction
citeseerx-q934,natural-sounding speech synthesis using variable-length units
citeseerx-q935,openglï¼laser scanningï¼ mfc
citeseerx-q936,samples selection in semi- supervised classification
citeseerx-q937,rebranding
citeseerx-q938,learning environment
citeseerx-q939,human computer interaction
citeseerx-q94,mapping target signatures via partial unmixing of aviris
citeseerx-q940,mixed finite element methods on rectangular domains
citeseerx-q941,tomography transform radon integral geometry discrete reconstruction correct regularization
citeseerx-q942,wsn
citeseerx-q943,marketing
citeseerx-q944,internet censorship
citeseerx-q945,ridgelet
citeseerx-q946,k means clustering
citeseerx-q947,emergency management
citeseerx-q948,the evaluation method of entropy
citeseerx-q949,deep learning
citeseerx-q95,a semantic blend feature definition
citeseerx-q950,open innovation
citeseerx-q951,seamus d garvey
citeseerx-q952,powering wireless sensors
citeseerx-q953,an information-theoretic approach to automatic query expansion
citeseerx-q954,sky-wave othr rcs
citeseerx-q955,social network sites
citeseerx-q956,image deblurring with
citeseerx-q957,page design
citeseerx-q958,fraud identification in electricity company customers using
citeseerx-q959,economics of crime
citeseerx-q96,credit risk
citeseerx-q960,flickr
citeseerx-q961,can we trust trust
citeseerx-q962,participatory design
citeseerx-q963,adaptive algorithms and stochastic approximation
citeseerx-q964,musical genre classification using support vector machines
citeseerx-q965,microgrid
citeseerx-q966,latifur khan image annotation
citeseerx-q967,å¨æ é¢: connecting rod -lightweight
citeseerx-q968,alternative energy sources
citeseerx-q969,watermarking
citeseerx-q97,ad hoc network
citeseerx-q970,the gaussian sampling strategy for probabilistic roadmap planners
citeseerx-q971,privacy
citeseerx-q98,kayoko okada
citeseerx-q99,computer
